Tweets,"Emotion (+,-,O)","Place in Sentence (B, E, M, R, A)",Total Neutral,Total Positive,Total Negative
,O,,,,
,O,,,,
,+,,,,
,O,,,,
Adventure days are better with LaCroix 💚💫 (📸 @glambymj) https//t.co/QN13pJSE8n,O,E,,,
,O,,,,
,O,,,,
Keep your bubbles perfectly chilled in our Pastéque Cooler! 💚✨ Shop it now on our e-store here bit.ly/LACSTORE 🔗 https//t.co/pRMp6ymltS,+,E,,,
,O,,,,
,O,,,,
@Tyler47097065 Hi Blue 👋,O,E,,,
All day everyday 🙌🥰 twitter.com/Aspiringluis/s…,O,E,,,
,+,,,,
Pure joy! 💙✨ https//t.co/RV4P0xKxdz,+,E,,,
,O,,,,
It’s a great day to enjoy some Limoncello! 🍋✨ (📸 @maria.beer) https//t.co/h2Q6EpsWh5,O,E,,,
,O,,,,
,O,,,,
🙌💖 twitter.com/AmeliaHoweee/s…,+,A,,,
,+,,,,
@N3ONTV Thanks for the love! 💖 Please send us a DM💌,+,M and E,,,
,+,,,,
The perfect day to cozy up with Cerise Limón 🥰💫❤️ https//t.co/bPmbbOSzh1,+,E,,,
,O,,,,
,+,,,,
@jhshifris11 So cool! Please send us a DM 💌,O,E,,,
@emmagiannaa Hi! Thanks for being an amazing fan! Please send us a DM 💌,O,E,,,
@LaurenNakaoWinn @boxedwater Thanks for the love! 🥰,+,E,,,
Nothing like LaCroix with your #sparklebestie! 💗✨ (📸 @jilliankayp) https//t.co/ocWergz9Gq,+,E,,,
,O,,,,
,O,,,,
Always pushing 🅿️amplemousse ✨,O,R and E,,,
,O,,,,
Always dress your best with our Pamplemousse Long Sleeve T-shirt! 💖 Head over to our e-store to shop now bit.ly/LACSTORE 🔗 https//t.co/QRxlNC47Ze,+,M and E,,,
,O,,,,
@kiwi_milli 😂😂,+,A,,,
,+,,,,
@Just_bearittttt Thanks for the love!🥰,+,A,,,
"Add an innocent twist to your Tuesday happy hour with our Lite Sparkler Mocktail! 💚✨ Here’s the recipe

▪️Pour Lime Lacroix into a champagne flute
▪️Top it off with an ounce of pomegranate juice
▪️Drop in a few pomegranate seeds or limes for a fun garnish! https//t.co/gylq4IgYJ4",+,M,,,
,O,,,,
Start your week off right with some LaCroix NiCola! 💚🌟 https//t.co/QUOagd3BuL,O,E,,,
,+,,,,
That feeling when Orange is just too good ☺️🧡 (📸 @onesmartnurse) https//t.co/rba2RCh1nE,+,E,,,
,+,,,,
,O,,,,
@chicagobars @jewelosco @LakeshoreBev 🥰✨,+,A,,,
,O,,,,
Ready to serve up to some ice cold sparkles 💙🧊✨ https//t.co/OL1WSw2pLT,O,E,,,
,O,,,,
,O,,,,
Handwritten to sparkly perfection! ✍️✨💖 #NationalHandwritingDay https//t.co/gN8IK30arz,O,M,,,
,O,,,,
,+,,,,
Enjoy the refreshing scent of Limoncello everywhere you go! 🍋✨ Shop our Limoncello Car Freshener on our e-store here bit.ly/LACSTORE 🔗 https//t.co/KSMmGEYzEG,O,M and E,,,
,O,,,,
,O,,,,
Double the views 😍🌟 (📸 @elenaajoy) https//t.co/cDjnOV9NBD,+,E,,,
,O,,,,
,O,,,,
Pics or it didn’t happen 🥰🤳 (📸 @kaya.durkee) https//t.co/OXac78rrAX,+,E,,,
,O,,,,
,O,,,,
Snow days call for Lemon LaCroix 🍋✨❄️ https//t.co/c6ZA7fTBb7,O,E,,,
,O,,,,
,O,,,,
Little LaCroix Lover a series 🥰💚 (📸 @giannamattia) https//t.co/xKYOoIW4RB,+,E,,,
,+,,,,
,O,,,,
